"","cooks.red","dffits.red","leverage.red","studres.red","cooks.ful","dffits.ful","leverage.ful","studres.ful","cooks.sel","dffits.sel","leverage.sel","studres.sel","cooks.int","dffits.int","leverage.int","studres.int"
"20",0.0102262757254645,-0.363899193478454,0.329053898089374,-0.519626618329732,0.0113231626112888,-0.424906360813851,0.33091449722311,-0.604193634708174,0.980326631742412,8.27665495217684,0.988842303684209,0.879181618955214,1.04804766165855,11.0017301116413,0.994821756189564,0.793742431079783
"21",0.00601009942195077,-0.279086148396159,0.156349858745095,-0.648292096886132,0.00508963389172749,-0.284918929368924,0.160996845727616,-0.650420793429247,0.000342522369502322,-0.154249770447224,0.835986556087868,-0.0683226344034684,0.00928168834954354,-1.03171766269869,0.959016469556585,-0.213281170924887
"35",0.00268055252337616,-0.186249717605255,0.186896207976819,-0.388479737171114,0.000376193728111741,-0.0773765869252777,0.207273567437617,-0.151321026166703,0.30134117257659,-4.59042733912525,0.960556459760273,-0.93020702049438,0.533321172978988,-7.86201416167262,0.985229137734446,-0.962649350824739
"73",0.00345091344355145,0.211564204044612,0.0724660388797577,0.756902321173796,0.00453772643523668,0.269270042057505,0.0877800178461438,0.868040515869174,0.0443513049016911,1.81749947079933,0.261666403353395,3.0529987461765,0.627483196029095,9.65796874985871,0.791009895707806,4.96429634413995
"88",0.0119743296804354,-0.394346302271735,0.160887342035303,-0.90058968959345,0.0139075543161115,-0.471843509618874,0.168909185290057,-1.04663581824724,0.513094398976032,-6.00239458190484,0.962444798675956,-1.18569141060368,1.24944594445452,-12.1233068681017,0.985373423478389,-1.47703919401372
"89",0.0856742962351486,-1.06263820153166,0.239208547152324,-1.89509022003424,0.0803342784547043,-1.14315614144591,0.242969028207591,-2.01784089470245,8.34881950493514e-05,0.0761527618440724,0.913568741762292,0.0234234283481599,0.00865493684670034,0.996066832582785,0.989278450987966,0.103695037283187
"127",0.00774110905807981,0.31690223608674,0.140447235565853,0.783979987423409,0.00633615563569143,0.317945641422278,0.175364737503593,0.689465742101236,0.00171878142795754,-0.345579813706268,0.753257287729782,-0.197787509644302,0.0171841883961936,1.40454772638781,0.937536827012279,0.362538683915056
"128",0.00104414432406539,0.116217582403388,0.157666504298599,0.268623592491243,5.74761902789016e-06,0.00956359227664933,0.197496019810761,0.0192781553813216,0.00634405087397268,0.664617955083316,0.589787220515545,0.55427971348533,0.0353026209896541,2.01696110567173,0.901050735161256,0.668388835179966
"133",0.319838526153196,2.18771554710913,0.140605990140709,5.40860297566006,0.269485265362361,2.23176882961299,0.144241796604688,5.43599666474078,1.03671762514253,8.51340699601063,0.988611138821296,0.913757166092133,1.04641901290386,10.9938510471444,0.994730591671844,0.800162212603438
"134",0.271747826697147,-1.90734778073757,0.356334201678909,-2.56348836449883,0.249715316810125,-2.03250967481134,0.363073246185019,-2.69203215635632,0.00298434004791031,-0.455362543940275,0.851316687968458,-0.190301777437259,0.197694080319327,-4.79067340085013,0.955611041952252,-1.03250808262049
"153",0.133940679423521,1.31678209507956,0.889893567538894,0.4631815209671,0.0629513745485691,1.00120163285882,0.893106239989599,0.346374701270815,235.97491085786,-128.288358621977,0.999968094602238,-0.724646599479613,182.777524812795,-144.92625899298,0.99998984540904,-0.46182825937005
"170",0.168281208631464,1.59333761443198,0.0756744527606437,5.56859512117131,0.209999756951546,1.99638392359071,0.101563231897108,5.93771797842483,0.508114282543293,6.19657936733055,0.771971001218716,3.3678021009894,0.441865323267147,7.47626174746063,0.866641391566282,2.93275181088606
"34",0.00356763352856015,-0.215148545266034,0.0678680256603084,-0.797341757404565,0.00238747546484056,-0.195114495127917,0.0923643693930461,-0.611636040185643,0.037266362529136,1.61045290901624,0.912672648322341,0.498156334778878,0.00939309123046583,1.03787410734674,0.961764252913777,0.206940337001605
"98",0.00829704863703284,0.328117304756424,0.141703029196351,0.807529428672918,0.00837794127873551,0.365917889099977,0.144532433375005,0.890231093484526,0.00110892005677372,-0.27759463673018,0.59369759476343,-0.22964295305712,0.143352786981022,-4.1132236150661,0.872906020835279,-1.56949907688672
"163",1.57520483238114e-05,-0.0142717530521335,0.140086349935847,-0.0353595585240829,1.13688900029252e-05,-0.0134504535659075,0.144344460398635,-0.0327481184108782,0.0601538174580256,2.05639204709659,0.731126456487486,1.24704952492131,0.0314960187963226,1.90330140253631,0.926428712489024,0.5363592101248
"175",0.0009038187040064,-0.108128013582244,0.131389983526107,-0.278015821765915,0.00143102359314727,-0.150963467333962,0.135925466228755,-0.380624771575333,0.0164677814734344,-1.07240733972597,0.622658969751244,-0.834836961556223,0.220625637014984,-5.09810131098099,0.918489224601724,-1.51872429734514
